Feature,F1_drop_mean,F1_drop_std
age,0.007224714630555229,0.0009411584957511958
sl_peak,0.004314246359969109,0.0011271193054128404
hr_tasks_mean,0.0008726847972449381,0.0007757738619195986
hr_reactivity,0.0005112703024590992,0.0009378552239697409
eda_baseline_mean,-0.00010742244626287256,0.0006390522863693609
sl_baseline,-0.0005714418657498666,0.0008218061093463216
eda_reactivity,-0.001840069244327802,0.0005547901742607495
bmi,-0.002086308521915092,0.0013000391263558945
sl_mean_tasks,-0.002835136384580461,0.0007047354107191438
eda_tasks_mean,-0.003617628846064691,0.0006754772835750327
gender,-0.004673943053509077,0.0016752949832748065
hr_baseline_mean,-0.006153903316699849,0.0012177680880039667
sl_reactivity,-0.0073505720271036966,0.0009460435763980518
